"date","timestep","bob_eta","sm_eta"
2024-09-01,2,0.0240909549465478,0.0210773756702123
2024-09-01,3,0.0166578625134921,0.0135795203995297
2024-09-01,4,0.0134677219825816,0.0103816206342007
2024-09-01,5,0.0309913528190471,0.0285737160851616
2024-09-01,6,0.0191840624413251,0.0156041862950449
2024-09-01,7,0.0177840923150425,0.0149194874369405
2024-09-01,8,0.0209036343545836,0.0172643204148493
2024-09-01,9,0.0424871364268782,0.039892032446013
2024-09-01,10,0.0253747297286413,0.0295058220890851
2024-09-01,11,0.0211150222714833,0.0263959644158183
2024-09-01,12,0.0374088506108237,0.0441413998265343
2024-09-01,13,0.0295800282319805,0.0363941787305491
2024-09-01,14,0.0261059891423523,0.0332654168352002
2024-09-01,15,0.0361917906019444,0.0432455024261262
2024-09-01,16,0.0260670879052256,0.0342249115404814
2024-09-01,17,0.0225090765848064,0.0309721147029736
2024-09-01,18,0.0307057978785448,0.0397975572464357
2024-09-01,19,0.0120821796666313,0.0214866451374451
2024-09-01,20,0.0341409779453663,0.0442093726987283
2024-09-01,21,0.0081831520972262,0.0164571537234179
2024-09-01,22,0.0149643959658166,0.0258664709405565
2024-09-01,23,0.020428404216843,0.0311139675977277
2024-09-01,24,0.00636769780911983,0.0163911975895825
2024-09-01,25,0.0270642242886971,0.0372147313827611
2024-09-01,26,0.010459226858667,0.0174133709407469
2024-09-01,27,0.00842697637447021,0.016236721323633
2024-09-01,28,-0.00783798540459202,-6.57049132195553e-05
2024-09-01,29,-0.00582757881319917,-0.000198134321461652
2024-09-01,30,-0.00611466759276613,-0.000699814679155253
2024-09-01,31,-0.0041336893933055,0.00196943032967933
2024-09-01,32,-0.0302566393633796,-0.0285629941010734
2024-09-01,33,0.00170426835526616,0.0066989976947216
2024-09-01,34,-0.0164102025836925,-0.0134434177314002
2024-09-01,35,-0.0230730051221251,-0.019990562750146
2024-09-01,36,-0.0132824128021927,-0.0100080909758002
2024-09-01,37,-0.0212033853220772,-0.0191546877116213
2024-09-01,38,-0.0066309853982478,-0.00417016496768241
2024-09-01,39,-0.0187968662640614,-0.0169161886272509
2024-09-01,40,-0.0234752784610057,-0.0233357977737167
2024-09-01,41,-0.0132111071437455,-0.0135048021683293
2024-09-01,42,-0.0158522217155586,-0.0155009939262625
2024-09-01,43,0.00199022301867657,0.00261869858700958
2024-09-01,44,-0.00658443960026922,-0.00628238084547217
2024-09-01,45,-0.0246019308507277,-0.0257110837364669
2024-09-01,46,0.00191098529673717,0.0026034939151165
2024-09-01,47,0.0143742816599071,0.0150815267767381
2024-09-01,48,-0.0013803261701808,-0.00177465425460266
2024-09-01,49,0.00316787372954508,0.00284665555045205
2024-09-01,50,-0.00433014096151663,-0.00513013753097269
2024-09-01,51,0.010531297055465,0.00897804727662344
2024-09-01,52,0.00664325483757278,0.00457440925010033
2024-09-01,53,0.0128868901290247,0.0126321806624992
2024-09-01,54,0.0104509419723238,0.0088379162988641
