"date","timestep","bob_eta","sm_eta"
2024-09-01,2,0.0217037370552733,0.0181342110855098
2024-09-01,3,0.0139134216911012,0.0102431986997651
2024-09-01,4,0.0107639444070164,0.00710591339887578
2024-09-01,5,0.02861592953652,0.0255031813636606
2024-09-01,6,0.0160465858060395,0.0119930377150332
2024-09-01,7,0.0147541073109654,0.0112145899274143
2024-09-01,8,0.0178439524156557,0.0137407340447915
2024-09-01,9,0.0395319124639739,0.036193890698625
2024-09-01,10,0.0235366998990809,0.0248636224006713
2024-09-01,11,0.0212286998167794,0.0236607324493878
2024-09-01,12,0.0395493568042973,0.0433856907392798
2024-09-01,13,0.0326151541287381,0.0366223191362014
2024-09-01,14,0.0301335551504671,0.0345373221846703
2024-09-01,15,0.0411113692690064,0.0456224986641214
2024-09-01,16,0.0314260889869908,0.0369298430503413
2024-09-01,17,0.0287029939283272,0.0345828827994215
2024-09-01,18,0.0377070757389744,0.0442803560187315
2024-09-01,19,0.0194400849837777,0.0263498600043324
2024-09-01,20,0.0425543127080141,0.0501634639627184
2024-09-01,21,0.016125831947309,0.0223547654895864
2024-09-01,22,0.0239732215307145,0.0325183900017016
2024-09-01,23,0.0299890437325256,0.0384730997697034
2024-09-01,24,0.0159105464775884,0.0239357424661417
2024-09-01,25,0.0370892575998019,0.0453089731110605
2024-09-01,26,0.019177254202134,0.0248658766643732
2024-09-01,27,0.0167854799944038,0.023139166614941
2024-09-01,28,0.000248941212334763,0.00662316966375265
2024-09-01,29,0.00210483995962729,0.00695558157881138
2024-09-01,30,0.00147748756758492,0.00626175802404383
2024-09-01,31,0.00329934324662595,0.00868418226852263
2024-09-01,32,-0.0240570531735509,-0.0220678323640033
2024-09-01,33,0.008691020618949,0.013221798848809
2024-09-01,34,-0.0108136067997684,-0.00786452740309329
2024-09-01,35,-0.0177819144158091,-0.0147456052530668
2024-09-01,36,-0.0079104521186979,-0.00471974464985081
2024-09-01,37,-0.0165480481743963,-0.0143248985110809
2024-09-01,38,-0.00213292722870495,0.000404551268292863
2024-09-01,39,-0.0152544193679764,-0.0132069666457362
2024-09-01,40,-0.0205545264516402,-0.0197971408996658
2024-09-01,41,-0.0106074523728132,-0.010246272909411
2024-09-01,42,-0.0138883503646561,-0.0131092078134358
2024-09-01,43,0.00365617372312244,0.00464587310461617
2024-09-01,44,-0.00602975318896704,-0.00541428604957161
2024-09-01,45,-0.0249242097269207,-0.0254521125440874
2024-09-01,46,0.00226767538370076,0.00314693893513862
2024-09-01,47,0.0139051155959384,0.0147840931366154
2024-09-01,48,-0.00316770635135644,-0.00330187360041023
2024-09-01,49,0.00100017416230358,0.000923681304746182
2024-09-01,50,-0.00710633930225235,-0.00762890859410703
2024-09-01,51,0.00751070271662257,0.00643206079761782
2024-09-01,52,0.00261712128460267,0.00110951163177297
2024-09-01,53,0.00866893266833824,0.00862118289957792
2024-09-01,54,0.00559093859483273,0.00444317875056122
2024-09-01,55,0.0181313896327282,0.0172053786719655
2024-09-01,56,0.00298605278789932,0.00145360432401098
2024-09-01,57,0.0221801332420704,0.0208995705539792
2024-09-01,58,0.0103690010217941,0.00820710399773894
2024-09-01,59,0.0258680399155686,0.0244297201094916
2024-09-01,60,0.019661338234787,0.0173038784691411
2024-09-01,61,0.0263549355239467,0.0240794216499065
2024-09-01,62,0.00443543122522616,0.00141184494691338
2024-09-01,63,0.0216393121103478,0.0189454791688952
2024-09-01,64,0.0121208867507399,0.0093353622885548
2024-09-01,65,0.0209602889119669,0.0186492702429231
2024-09-01,66,0.0116597239193839,0.00912546204144427
2024-09-01,67,0.0150736273539991,0.0108785221223666
2024-09-01,68,-0.0389819227534733,-0.0414258338665867
2024-09-01,69,-0.0454826126652259,-0.0446924055265896
2024-09-01,70,-0.0284525326517828,-0.0283015088044838
2024-09-01,71,-0.0222522391888518,-0.0250784775459643
2024-09-01,72,-0.014334963892944,-0.015426588159583
2024-09-01,73,-0.0419629979506047,-0.0446880310325568
2024-09-01,74,-0.0291530469163703,-0.029438178384706
2024-09-01,75,-0.0410415104585868,-0.0420594306076039
2024-09-01,76,-0.0295559586292753,-0.0306252028712048
2024-09-01,77,-0.0443554959008514,-0.0474540299775805
2024-09-01,78,-0.0318686335980911,-0.0350976008586326
2024-09-01,79,-0.037853884428916,-0.0422020193114978
2024-09-01,80,-0.0316233113338384,-0.0367643007799883
2024-09-01,81,-0.0298734165414718,-0.0348836164713147
2024-09-01,82,-0.0202258802626183,-0.0253241080522315
2024-09-01,83,-0.00801219698848943,-0.0125298123204907
2024-09-01,84,-0.0191336176435031,-0.0248228908413521
2024-09-01,85,-0.0282700164839933,-0.0339304583182658
2024-09-01,86,-0.0121738719553135,-0.0181124850981336
2024-09-01,87,-0.0201092207867206,-0.0264892229248233
2024-09-01,88,-0.0185363956195652,-0.0235761039692894
2024-09-01,89,-0.0312924375317252,-0.0325918588925571
2024-09-01,90,-0.0302305137890087,-0.0302178761950724
2024-09-01,91,-0.0278460076873341,-0.027216336185254
2024-09-01,92,-0.020353640949152,-0.0209731163730593
2024-09-01,93,-0.0376468696421788,-0.037478692540553
2024-09-01,94,-0.00877418163459165,-0.00712388101716677
2024-09-01,95,-0.0285434983560058,-0.028150646920702
2024-09-01,96,-0.0182957161303556,-0.0174960438641101
2024-09-01,97,-0.0295282022382626,-0.0289347688295871
2024-09-01,98,-0.00691063575327844,-0.0059770811065345
2024-09-01,99,-0.0202203888884234,-0.0191773849630721
2024-09-01,100,-0.0326664082205692,-0.0330795804611572
2024-09-01,101,-0.00880805874624802,-0.00669444093428773
2024-09-01,102,-0.00446085519263839,-0.00312507006682239
2024-09-01,103,-0.0203745233708208,-0.0204048149143459
2024-09-01,104,-0.0135653500798112,-0.0126037166004647
2024-09-01,105,-0.00364615116774836,-0.00247650591514059
2024-09-01,106,-0.0167961698049166,-0.0160420558606456
2024-09-01,107,-0.00177748877333972,-0.000746969722140278
2024-09-01,108,-0.0131035733120992,-0.0121930909280028
2024-09-01,109,0.00160933845742584,0.00225805662444323
2024-09-01,110,-0.0107030978279443,-0.00972415105416413
2024-09-01,111,-0.00413330721393113,-0.00341843509264717
2024-09-01,112,-0.00615043475156307,-0.00577917572933462
2024-09-01,113,0.00475852162335411,0.00561790267441076
