"date","timestep","bob_eta","sm_eta"
2024-09-01,2,0.0240909549465478,0.0211529889051265
2024-09-01,3,0.0166578625134921,0.0136445117539221
2024-09-01,4,0.0134677219825816,0.0104362914295564
2024-09-01,5,0.0309913528190471,0.02864773805379
2024-09-01,6,0.0191840624413251,0.0156463691511588
2024-09-01,7,0.0177840923150425,0.0149650274864275
2024-09-01,8,0.0209036343545836,0.0173121944101071
2024-09-01,9,0.0424871364268782,0.0399381891534594
2024-09-01,10,0.0253747297286413,0.0295203342235215
2024-09-01,11,0.0211150222714833,0.0265288155808774
2024-09-01,12,0.0374088506108237,0.0442561071377474
2024-09-01,13,0.0295800282319805,0.0364709903128446
2024-09-01,14,0.0261059891423523,0.0332764453092578
2024-09-01,15,0.0361917906019444,0.043273232744629
2024-09-01,16,0.0260670879052256,0.0343120701553907
2024-09-01,17,0.0225090765848064,0.0310363941919363
2024-09-01,18,0.0307057978785448,0.0398890651358172
2024-09-01,19,0.0120821796666313,0.02155590856953
2024-09-01,20,0.0341409779453663,0.0442727014691089
2024-09-01,21,0.0081831520972262,0.0165299144545452
2024-09-01,22,0.0149643959658166,0.0260673921684313
2024-09-01,23,0.020428404216843,0.0312417184399081
2024-09-01,24,0.00636769780911983,0.0165510164224418
2024-09-01,25,0.0270642242886971,0.0372821778430863
2024-09-01,26,0.010459226858667,0.0174979971054494
2024-09-01,27,0.00842697637447021,0.0163245729755452
2024-09-01,28,-0.00783798540459202,3.1559433004702e-05
2024-09-01,29,-0.00582757881319917,-7.9821110614553e-05
2024-09-01,30,-0.00611466759276613,-0.000499594181629703
2024-09-01,31,-0.0041336893933055,0.00217406737922232
2024-09-01,32,-0.0302566393633796,-0.0282549349770571
2024-09-01,33,0.00170426835526616,0.00698343159984827
2024-09-01,34,-0.0164102025836925,-0.0131808161508609
2024-09-01,35,-0.0230730051221251,-0.0198240165671537
2024-09-01,36,-0.0132824128021927,-0.00985931592223643
2024-09-01,37,-0.0212033853220772,-0.0190504138544529
2024-09-01,38,-0.0066309853982478,-0.00414948540816162
2024-09-01,39,-0.0187968662640614,-0.0169106644875265
2024-09-01,40,-0.0234752784610057,-0.0233485007515375
2024-09-01,41,-0.0132111071437455,-0.0135064948215948
2024-09-01,42,-0.0158522217155586,-0.0155593502612579
2024-09-01,43,0.00199022301867657,0.00261495269710554
2024-09-01,44,-0.00658443960026922,-0.00645224369625019
