"date","parameter","bob_mean","bob_median","bob_lower","bob_upper","bob_Rhat","sm_mean","sm_median","sm_lower","sm_upper","sm_Rhat"
2024-09-01,"GPP",3.72826717212575,3.71374233023478,2.58315320230051,4.93225923309123,0.999382343972166,3.13594348095693,3.13076540035872,1.90420024134581,4.4088167587803,0.999878667925347
2024-09-02,"GPP",4.08298594676963,4.06874599644181,3.11059570872405,5.07771918266694,0.99954820908021,4.12715553006676,4.11554366675582,2.9520249592575,5.33035223835236,0.999792521954375
2024-09-03,"GPP",2.05881903856427,2.05420064742322,1.46506143486126,2.6751503282778,1.00005417375437,1.97500089466536,1.9687050077199,1.33838527630243,2.61867445327304,0.999158704434036
2024-09-04,"GPP",4.62508681099478,4.61361374057671,3.48773721988206,5.82635686401556,0.999450430281019,5.08746119725993,5.06297407140711,3.6534207806793,6.6204582817856,0.999235527057889
2024-09-05,"GPP",3.6576784413005,3.64944669450808,2.5726109722987,4.76986272586581,0.999330310927331,3.09917405787211,3.08576663961654,1.93615402715544,4.29889508955546,0.999768655079021
2024-09-06,"GPP",4.0199024433828,4.02113542798114,3.05613614053774,4.98500487708272,1.00002056423177,4.10212956602136,4.0905245498147,3.02696407368434,5.23548199155367,0.999795410038274
2024-09-07,"GPP",4.16132562135254,4.15135298352136,3.12704874832426,5.21284639265002,0.999403049972431,3.92009490017467,3.91864461426466,2.7745458273106,5.09226761467541,0.999847593430171
2024-09-08,"GPP",3.95736319187345,3.95549090146382,2.97030112011887,4.9673211226229,0.999334831939938,3.87877091698892,3.86435745877864,2.81142831459055,4.99259307820913,0.999683311030462
2024-09-09,"GPP",3.96647174536068,3.94910322371291,3.06636375729653,4.94468521142303,0.999573238179255,3.91100204292043,3.89715218406539,2.82329434916539,5.02523403097404,0.999547953793432
2024-09-10,"GPP",5.17729734736562,5.17527844541178,3.92554273100584,6.54552616158135,0.999573225529195,4.8404709817847,4.81391894764366,3.44105803992295,6.36352313411667,0.999634257125561
2024-09-11,"GPP",2.42113117752013,2.42406337027513,1.63209435780923,3.19255932595156,0.99957493294155,1.92733486750016,1.91997420587713,1.12101885670859,2.73182401430642,0.999593579559308
2024-09-12,"GPP",2.98350756969128,2.98276938813662,2.33012306185513,3.67386942738024,0.999287539788196,3.12817108274999,3.120125550645,2.37408177916754,3.90461970194864,0.999997053233085
2024-09-13,"GPP",4.53984002903516,4.53187745750459,3.45426433154605,5.72599085135391,0.999487037844575,5.15174854545824,5.13054545820628,3.76257295529754,6.63236973821272,0.999255423836285
2024-09-14,"GPP",4.87591766955637,4.86156911064985,3.68010673125033,6.12835971749041,0.999652944180181,5.17396606893281,5.15896333446765,3.69533822766326,6.74430923644023,0.999304507388464
2024-09-15,"GPP",5.20470143882793,5.19361625979752,4.00877542937696,6.43933304226674,0.999512317956934,5.3415746311085,5.31657353026614,3.91211700837671,6.88915357834406,0.999737150545983
2024-09-16,"GPP",3.62364983514621,3.62877563022111,2.80598283082485,4.43818224404664,1.00010480392293,3.67918815919173,3.67641020801603,2.77447132285889,4.62975648605531,0.999117513682151
2024-09-17,"GPP",1.69290080039362,1.69164762198095,1.20975735974477,2.19911815420894,0.999547121114439,1.63008900376695,1.6259992923646,1.09747084523408,2.18866744249122,0.999553662942223
2024-09-18,"GPP",1.19384652494958,1.18674351409068,0.714344374537313,1.72738446900257,0.999496259612872,1.17728830638841,1.16099355866153,0.640379867066914,1.78608441910161,0.999635237798028
2024-09-19,"GPP",4.86364534437398,4.85706111523766,3.88694815854473,5.86514172994437,0.999723231688905,4.94263123804071,4.94364361488793,3.78691346232939,6.09673480200749,0.999144142872805
2024-09-20,"GPP",4.70532705865282,4.69146194585719,3.67301256956109,5.84437695483303,0.999310029118206,5.01304837985137,5.00299701841514,3.67059593228358,6.37139730070141,0.999284690979227
2024-09-21,"GPP",3.84571779588329,3.84249397381267,2.8998951897878,4.81064280756894,0.999860256718583,3.88373288250555,3.88042189483663,2.76517422159535,5.02791925882616,0.999441164221341
2024-09-22,"GPP",3.40589556873716,3.39511883961802,2.44883728854532,4.39453791200372,0.999573210700179,3.29007259107102,3.28838572807234,2.23906182158822,4.40155970767887,0.999528934947699
2024-09-23,"GPP",4.979881154324,4.95665829038346,3.80939763550105,6.2260416664906,0.999895845406089,5.40426440590268,5.39551512435775,3.96955391230855,6.97160749113529,0.999292944171087
2024-09-24,"GPP",3.67233910021652,3.66179362802336,2.71795700234323,4.66173905124398,0.999284583637817,3.32065851793381,3.30705572292947,2.29599104054771,4.40666281907699,0.99915426074038
2024-09-25,"GPP",3.56097467945634,3.55305960556445,2.64361587417249,4.51856387603218,0.999371370594779,3.17618414133845,3.1671965034611,2.12286600011792,4.26951656678869,0.999638136061438
2024-09-26,"GPP",4.66142668958311,4.6496590544872,3.57542427807733,5.81061888867202,0.999848153383944,4.79934527249478,4.78560598616262,3.50887510370984,6.1516869787178,0.999629968441764
2024-09-27,"GPP",3.5933604909746,3.5898635967788,2.65012426338537,4.56542597257013,1.00012132305816,3.3223741540312,3.31815112783995,2.29338023562923,4.41322138141341,0.999196356186555
2024-09-28,"GPP",3.69045648625258,3.68848865059909,2.75546151986433,4.68234312862045,0.999236004587683,3.40072293005092,3.38554203888868,2.34171379903046,4.52773522198022,0.999417083023609
2024-09-29,"GPP",3.20973060404264,3.2041200851382,2.27839144173013,4.20239939075801,0.999475009386491,2.73525564631814,2.7295573530282,1.70448657906606,3.79500488661058,0.999385443751539
2024-09-30,"GPP",3.38583494325411,3.37770794640961,2.55075815657399,4.27739481104055,0.999171778750213,3.59391908980273,3.58910440718088,2.57190398418497,4.65475810191682,0.999540151509004
2024-09-01,"ER",-7.02100400072425,-6.99925809917563,-8.94885616055201,-5.1910240423993,0.999512301913375,-6.29187727108388,-6.27113319393353,-8.4243403926738,-4.31396307187013,0.999994179496255
2024-09-02,"ER",-7.88861366777032,-7.87310638542838,-9.58980481108587,-6.22701212003523,0.999502174488456,-8.18852431709978,-8.17581400744009,-10.3199790208771,-6.1645431770196,0.999770221033587
2024-09-03,"ER",-4.81036397955201,-4.80926195417961,-5.98112549384067,-3.67908097941321,0.999988859426557,-4.78813362968733,-4.77801311809061,-6.04161999006905,-3.56375794388424,0.999302684547918
2024-09-04,"ER",-8.08206604226197,-8.05026713728486,-9.9552400381392,-6.26817180214957,0.999268937955629,-9.07981637218276,-9.058537365666,-11.5639118608804,-6.77576492750582,0.999243766208943
2024-09-05,"ER",-6.30142158022694,-6.30533304680571,-7.98276471013056,-4.71774250580985,0.999279052554634,-5.65456675162138,-5.63713842185095,-7.48546709938073,-3.90871434663858,0.999848516421279
2024-09-06,"ER",-6.83169079565406,-6.83670360386395,-8.3081582127446,-5.35478592043322,1.00019495129814,-7.14633983617014,-7.14688918941398,-8.90551284259468,-5.49415831520798,0.999804489751087
2024-09-07,"ER",-6.9320046983919,-6.91384435057422,-8.55050815789619,-5.3908123302558,0.99945841168096,-6.76220934331037,-6.75846429689415,-8.5394150512078,-5.03258097793944,0.999708304782138
