"date","parameter","bob_mean","bob_median","bob_lower","bob_upper","bob_Rhat","sm_mean","sm_median","sm_lower","sm_upper","sm_Rhat"
2024-09-01,"GPP",5.18856576514226,5.20688414847058,3.62944346490337,6.68614206702701,1.0041015568472,4.71200233794512,4.7056719500986,3.00395166121388,6.37171323821958,1.00347550712237
2024-09-02,"GPP",5.85181437925442,5.85053706699143,4.44913731977808,7.30357946232575,0.999720172058764,5.70960987758051,5.6917616943071,4.11808296428562,7.36230609503924,1.00065323890515
2024-09-03,"GPP",4.54269941991581,4.56133995658276,3.3049966509915,5.73366028715723,1.00200645002662,4.37724665497922,4.37866636678017,3.07185132019164,5.74012714119091,1.00107309026334
2024-09-04,"GPP",5.66300908442831,5.62236703255012,4.31082348460215,7.25732089381536,1.00007739863821,5.75458433062303,5.69091632797103,4.12213105199814,7.64216313107643,1.00058709985712
2024-09-05,"GPP",5.34485919681352,5.35658346059293,3.89746064459128,6.80080059654261,1.0007694835699,4.96620299466794,4.96380859725143,3.34569025276505,6.5726086092114,1.00194452485864
2024-09-06,"GPP",5.85242712933535,5.85006718125163,4.37061151047232,7.31526238807451,1.0001967729364,5.76343471756486,5.74238425201497,4.21038444759905,7.41884421705178,1.00098683419567
2024-09-07,"GPP",6.19009359302489,6.19786202498159,4.58581330197521,7.7899565788457,1.00033021454766,5.91469192271172,5.90599727321326,4.19773564476235,7.73815021604107,1.00104745532694
2024-09-08,"GPP",5.74538856835436,5.73643788064831,4.33820454793191,7.16909388964254,1.00094497377933,5.63772946762669,5.60825324647086,4.10348322136135,7.31842372438699,1.00020478345758
2024-09-09,"GPP",6.06019821400882,6.02588654239135,4.63245302541863,7.67329863911361,1.0011189111066,5.84639485007763,5.82946817220766,4.23742379866814,7.60892357141434,1.00009065487707
2024-09-10,"GPP",6.13367920388222,6.13339386068104,4.57328318306943,7.74195568727262,1.00048651764637,5.79295912446227,5.78627276234101,4.08162963077133,7.53146200165495,1.00162971147962
2024-09-11,"GPP",4.23773829577203,4.23055565615903,2.84705716250556,5.58995409018689,1.0034588678699,3.73994695848649,3.73705693138575,2.29967249127768,5.16854941698688,1.00412776123329
2024-09-12,"GPP",4.48543686952977,4.46081515565694,3.41706064625525,5.6945114691115,1.00048180010618,4.66410641484987,4.63450643610482,3.44981131577938,6.01667699083035,1.00022348846333
2024-09-13,"GPP",5.60136947271572,5.53379704826166,4.26147975305315,7.21247322157659,1.00461636877701,5.84063075259759,5.78057504547242,4.18465913824129,7.81655311752829,0.999888986552189
2024-09-14,"GPP",5.82987614389578,5.77535615814998,4.40287064435634,7.48478493184096,1.00060182365153,5.93629810231611,5.87476595624865,4.27476569197323,7.96889175454247,1.0003068730326
2024-09-15,"GPP",6.32961212764951,6.28043629068833,4.83153794829273,8.14452888702661,1.00221591690545,6.40677465150476,6.34842803330174,4.63854871206479,8.40978619960674,1.00046682246619
2024-09-16,"GPP",6.50243056494607,6.45413132697242,5.05305618727423,8.28975130625479,1.00328060016091,6.56484447294787,6.51280843659209,4.86532959563644,8.52959763849775,0.999946597853886
2024-09-17,"GPP",2.95657827942155,2.93210133197652,2.06797383454944,3.93118710846634,0.999765743316586,2.92715749920963,2.91728872335735,1.91591131137197,4.00484550627052,1.00036293524831
2024-09-18,"GPP",1.83381431508541,1.81590691202984,1.02689925596856,2.7249502820986,1.00120684800026,1.80593764394185,1.79321833021191,0.944768687517103,2.79639341031891,0.99974510414324
2024-09-19,"GPP",6.08534602516471,6.05124025808065,4.66164686845177,7.75701136988783,1.00225338634739,6.63157865607871,6.58844633099369,4.86805024448667,8.71807490354348,0.999780389731927
2024-09-20,"GPP",5.7880298358889,5.71959843656769,4.38131973135411,7.5721292488014,1.00241515679147,6.08020595869742,6.02467178799803,4.32276770179774,8.16912899594128,0.999866727759557
2024-09-21,"GPP",4.96890486703264,4.93616976589687,3.68999276652346,6.42186937129093,1.00073153741371,5.08744978677996,5.0469899745203,3.54221469787681,6.77765595742341,0.999777162310942
2024-09-22,"GPP",4.53955506663364,4.5193592840235,3.27953337226735,5.89762058019294,1.00131354443875,4.43623034760924,4.39824259062208,2.99511761043535,6.06487512208027,0.999686916129638
2024-09-23,"GPP",5.66101361639323,5.64013577363679,4.29711474730279,7.2653565573374,1.00103427364403,5.64444348895113,5.61443637931878,4.05233260620476,7.44955101408851,1.00025104525835
2024-09-24,"GPP",4.67026793228516,4.68378876117344,3.36268789608148,5.95537223185657,1.00157130161133,4.33698497042472,4.34639331413498,2.87961671937867,5.8240200289222,1.0006831159488
2024-09-25,"GPP",4.98236862744643,4.9944775321736,3.60152377162884,6.26923955390439,1.00050888005447,4.61888936859113,4.61881869377323,3.14997036447424,6.15368981992342,1.00164902362548
2024-09-26,"GPP",5.51522838394334,5.48327252694226,4.1694530947563,7.00804162197325,1.00024394868031,5.39981757217965,5.37284319452953,3.78974809323691,7.19106078162869,1.00160256297495
2024-09-27,"GPP",4.83388459772181,4.82968913373316,3.51746551580156,6.2046314294234,0.999902097257262,4.58396323598958,4.56327322936731,3.16161352999363,6.09454065641717,1.00157833363527
2024-09-28,"GPP",4.73347084844843,4.74061448400375,3.44406356028865,6.08113593729627,1.00016495272935,4.49900509015075,4.49945390623975,3.04560893799286,5.97983620581932,1.00084666130008
2024-09-29,"GPP",4.56796461188552,4.56878171268645,3.23272302137617,5.88704490097141,1.00200846162655,4.22668435200099,4.23149168133181,2.78338946789261,5.72218046148365,1.0040393256232
2024-09-30,"GPP",4.44631631245632,4.4075210423918,3.27445780194719,5.75294340389212,1.00098561506768,4.47063757915343,4.4516380424779,3.15567770804555,5.9502703172151,1.00035445484133
2024-09-01,"ER",-9.33179039694607,-9.38642473704025,-11.5356230880507,-6.92405602477297,1.0043590163259,-8.87988994842895,-8.88899905828428,-11.4852877576541,-6.29101681539337,1.0037760430851
2024-09-02,"ER",-10.5442643269478,-10.5357325057782,-12.8082579914414,-8.37912109841769,0.9994490872951,-10.6337982996635,-10.6196535117578,-13.3180647334481,-8.04860960744385,1.00102792998327
2024-09-03,"ER",-9.63870747813197,-9.67693635998217,-11.6039682401672,-7.52523952427272,1.00282672606748,-9.57434959018705,-9.55987530372278,-11.9554371818633,-7.2336193866525,1.0030525872571
2024-09-04,"ER",-9.59850454084527,-9.52762374153707,-11.8613582423379,-7.58588780217178,1.00033220270808,-10.0415767520937,-9.94329980991909,-12.9664482439006,-7.54670488221111,1.00072787712544
