"date","timestep","bob_eta","sm_eta"
2024-09-01,2,0.0217037370552733,0.0180197925726056
2024-09-01,3,0.0139134216911012,0.0101409517865765
2024-09-01,4,0.0107639444070164,0.00700185583931834
2024-09-01,5,0.02861592953652,0.0254029070124702
2024-09-01,6,0.0160465858060395,0.0118978139580292
2024-09-01,7,0.0147541073109654,0.0111306725372877
2024-09-01,8,0.0178439524156557,0.0136430706702519
2024-09-01,9,0.0395319124639739,0.0361113657653309
2024-09-01,10,0.0235366998990809,0.0247674372512243
2024-09-01,11,0.0212286998167794,0.0235856907268772
2024-09-01,12,0.0395493568042973,0.0432809042441118
2024-09-01,13,0.0326151541287381,0.0365308718375257
2024-09-01,14,0.0301335551504671,0.0345139847382949
2024-09-01,15,0.0411113692690064,0.0455745114982182
2024-09-01,16,0.0314260889869908,0.0368907408804269
2024-09-01,17,0.0287029939283272,0.0345051524220317
2024-09-01,18,0.0377070757389744,0.0442098048570738
2024-09-01,19,0.0194400849837777,0.0262534843239273
2024-09-01,20,0.0425543127080141,0.0500986352075259
2024-09-01,21,0.016125831947309,0.0223165416318807
2024-09-01,22,0.0239732215307145,0.0323986687452997
2024-09-01,23,0.0299890437325256,0.0383695719494881
2024-09-01,24,0.0159105464775884,0.0238415323366965
2024-09-01,25,0.0370892575998019,0.0451870992225523
2024-09-01,26,0.019177254202134,0.024778635038933
2024-09-01,27,0.0167854799944038,0.0230386188023193
2024-09-01,28,0.000248941212334763,0.00651767745067389
2024-09-01,29,0.00210483995962729,0.00683999123402224
2024-09-01,30,0.00147748756758492,0.00618544192038151
2024-09-01,31,0.00329934324662595,0.00861049238075751
2024-09-01,32,-0.0240570531735509,-0.0221365950968799
2024-09-01,33,0.008691020618949,0.0131651301771782
2024-09-01,34,-0.0108136067997684,-0.00793371710883761
2024-09-01,35,-0.0177819144158091,-0.0147589346682455
2024-09-01,36,-0.0079104521186979,-0.00472382646616509
2024-09-01,37,-0.0165480481743963,-0.014334740432691
2024-09-01,38,-0.00213292722870495,0.000404601173517705
2024-09-01,39,-0.0152544193679764,-0.013168431923603
2024-09-01,40,-0.0205545264516402,-0.0197610322660786
2024-09-01,41,-0.0106074523728132,-0.010211336105435
2024-09-01,42,-0.0138883503646561,-0.0131150297999252
2024-09-01,43,0.00365617372312244,0.00467435232640234
2024-09-01,44,-0.00602975318896704,-0.00537131651533151
2024-09-01,45,-0.0249242097269207,-0.0253646288454519
2024-09-01,46,0.00226767538370076,0.00323271992478524
2024-09-01,47,0.0139051155959384,0.0149047341797459
2024-09-01,48,-0.00316770635135644,-0.00319162278138663
2024-09-01,49,0.00100017416230358,0.00100570257498234
2024-09-01,50,-0.00710633930225235,-0.00754572769580975
2024-09-01,51,0.00751070271662257,0.00652960072246422
2024-09-01,52,0.00261712128460267,0.00116979015495566
2024-09-01,53,0.00866893266833824,0.00863700737561146
2024-09-01,54,0.00559093859483273,0.00448649768288512
2024-09-01,55,0.0181313896327282,0.0172129946175179
